stock1,stock2,pvalue_train
AAPL,INTC,0.0033248847664949376
AAPL,MU,0.04645637964884712
AAPL,TEL,0.04684895833327062
AAPL,WDAY,0.042246666114240744
ACN,ANET,0.04649301574087898
ACN,ANSS,0.04263041151431782
ACN,INTC,0.011040388148012953
ACN,KEYS,0.03545975951580631
ACN,LRCX,0.010387677704692358
ACN,MU,0.034004572675089294
ACN,QCOM,0.01575487647501854
ACN,TEL,0.02085570302240959
ADBE,ADI,0.03400716006829516
ADBE,DELL,0.03407700997575582
ADBE,HPQ,0.008302975682031987
ADBE,INTC,0.011018743519639912
ADBE,MU,7.53052781506009e-05
ADBE,NXPI,0.006988719866980872
ADBE,ORCL,0.03223468662133587
ADBE,TEL,0.037745963982738766
ADBE,TXN,0.011343768671855058
ADI,INTC,0.03351465113754359
ADI,LRCX,0.03950227089021833
ADI,MU,0.0011780859207322903
ADI,TEL,0.028780936389408162
ADSK,ANSS,0.023381542205109792
ADSK,APH,6.815069759880807e-05
ADSK,CDNS,0.03268143448433904
ADSK,CRM,0.045118444183381054
ADSK,INTC,0.011580986945482924
ADSK,MSI,0.019295367241490113
ADSK,MU,0.0424223488640868
ADSK,NVDA,0.022226205609069075
ADSK,TEL,0.03337173179053606
ADSK,WDAY,0.04058485911600428
AMAT,INTC,0.020959136192702874
AMAT,MU,0.0003787237717137967
AMAT,QCOM,0.01164832732860406
AMAT,TEL,0.04896776761747489
AMD,CRWD,0.01880967863021675
AMD,CSCO,0.00041122974380522346
AMD,FTNT,0.010584927184306364
AMD,INTC,0.017747101220490304
AMD,MCHP,0.029494698448016436
AMD,MU,0.00028219997679007245
AMD,PLTR,0.005359821839318842
AMD,TEL,0.045547944902847824
AMD,TXN,0.03067198183332087
ANET,INTC,0.0003617783086839641
ANET,LRCX,0.025582995149925694
ANET,TEL,0.04601442725153221
ANSS,APH,0.0003779185570230506
ANSS,CRM,0.0004951491123049629
ANSS,GDDY,0.015955341385127265
ANSS,INTC,0.005776615982227971
ANSS,NOW,0.009001658962214847
ANSS,PANW,0.04989056617092238
ANSS,TEL,0.04420732972486048
ANSS,WDAY,0.015553754592334879
APH,CDNS,0.009147205072855233
APH,INTC,0.010121402257694952
APH,INTU,0.038734775139095956
APH,KLAC,0.04319319232439866
APH,TEL,0.03618713104470892
APH,WDAY,0.022340130100344326
AVGO,INTC,0.0001627576758888881
AVGO,KEYS,0.046226528320029464
AVGO,LRCX,0.024106883423046437
AVGO,MU,0.019825449821127564
AVGO,TEL,0.03994887746578223
CDNS,CRM,0.00364891469526956
CDNS,INTC,0.005324650182491975
CDNS,MSI,0.04107683041795955
CDNS,MU,0.04526516546993075
CDNS,NOW,0.014109655497907757
CDNS,NVDA,0.049537601037120606
CDNS,TEL,0.04660407638062263
CRM,INTC,0.0036774336048742704
CRM,KEYS,0.022822950226760393
CRM,MU,0.04491904722775024
CRM,TEL,0.0389730620457615
CRM,WDAY,0.002213610958720913
CRWD,CTSH,0.020050309589910074
CRWD,FTNT,0.011518022665619935
CRWD,GLW,0.0035415912459621484
CRWD,INTC,0.011901868787436347
CRWD,LRCX,0.020412846929871147
CRWD,MU,0.012493300655837463
CRWD,PLTR,0.010667106353104598
CRWD,TEL,0.044193515292516625
CRWD,TXN,0.04886406148784482
CSCO,FTNT,0.006226883178203124
CSCO,INTC,0.015111231506247108
CSCO,MU,0.008648354019735845
CSCO,PLTR,0.0002819182506005173
CSCO,QCOM,0.04695953455888276
CSCO,TXN,0.03713610004654667
CTSH,FTNT,0.04061746871983524
CTSH,INTC,0.018483517315372528
CTSH,INTU,0.042325011669844426
CTSH,MU,0.019845842857762936
CTSH,TEL,0.020116260771675668
DELL,HPQ,0.014936817736085961
DELL,INTC,0.03659451140021914
DELL,INTU,0.033616585700450625
DELL,MSI,0.014426553553961198
DELL,MU,0.0001735182535782369
DELL,NVDA,0.007583988446602498
DELL,ORCL,0.02684510126067721
DELL,SNPS,0.03614383982836095
DELL,TEL,0.012186318522282502
DELL,TXN,0.007100074311270703
FICO,INTC,0.017629626741411882
FICO,INTU,4.2881257235384874e-05
FICO,LRCX,0.032416415488889565
FICO,MU,0.0005861406708460849
FICO,NVDA,0.02098152189356233
FICO,TEL,0.03937902657550928
FTNT,GLW,0.040031533055968745
FTNT,INTC,0.01281178671867405
FTNT,LRCX,0.021151287812418547
FTNT,MU,0.004436792028319958
FTNT,PLTR,0.004558680927704056
FTNT,TEL,0.04941181690051511
GDDY,GLW,0.044219148586555256
GDDY,INTC,0.002333092120022563
GDDY,KEYS,0.030779706689537088
GDDY,MU,0.019414449498832233
GDDY,TEL,0.04458069027405761
GDDY,WDAY,0.006800314110678119
GLW,INTC,0.012856887688745933
GLW,KEYS,0.018164092208136043
GLW,LRCX,0.018553601353482246
GLW,WDAY,0.046197605219398016
HPQ,INTC,0.019854884894649698
HPQ,MU,5.052324170053081e-05
HPQ,NVDA,0.008964709388980726
HPQ,NXPI,0.014449149013444374
HPQ,ORCL,0.0031824129150173704
HPQ,QCOM,0.04601400872385356
HPQ,SNPS,0.011243994945720722
HPQ,TEL,0.009965126956768912
HPQ,TXN,0.005000676371174257
HPQ,VRSN,0.014959293202285083
IBM,INTC,0.01723281082597628
IBM,INTU,0.03020908414867954
IBM,LRCX,0.012806392097729644
IBM,MU,0.007922399978356408
IBM,NVDA,0.01590143077280153
IBM,TEL,0.04024120585610882
INTC,MU,0.016631173165907228
INTU,KLAC,0.008708456311638895
INTU,LRCX,0.024394060664552245
INTU,MU,0.026151192640623294
INTU,TEL,0.009140621417603363
IT,LRCX,0.01757985322223433
IT,MU,0.0003870632784597845
IT,NVDA,0.040983881664776615
IT,QCOM,0.012205127497635441
IT,SNPS,0.015038325229086272
IT,TEL,0.02286777336690564
KEYS,LRCX,0.014106590365390761
KEYS,TEL,0.016695989856494117
KEYS,WDAY,0.019182281493867047
KLAC,LRCX,0.0029559522731369805
KLAC,MU,0.04932454897042575
MCHP,MU,2.5509919390890062e-05
MCHP,NXPI,0.010473851324849959
MCHP,TEL,0.04813214828500274
MCHP,TXN,0.007663076329420491
MPWR,MU,0.00469276916503848
MPWR,QCOM,0.016612580568877232
MPWR,TEL,0.04409001272497717
MPWR,WDAY,0.036041755319485724
MSFT,MU,0.020030739589032853
MSFT,NVDA,0.013631099171929388
MSFT,ROP,0.04801740298805305
MSI,MU,0.02044519256130898
MSI,NVDA,0.026470381174752998
MSI,SNPS,0.0023578998266675314
MSI,TEL,0.03676732692399398
MU,TEL,0.020066807353157325
NOW,WDAY,0.02799352267705283
NVDA,TEL,0.01695601396644085
NXPI,TEL,0.012999401388405933
NXPI,TXN,0.048785305421256364
ORCL,SNPS,0.022690435612284614
ORCL,TEL,0.007394370136631447
PANW,TEL,0.002605389992799238
PANW,WDAY,0.016348653985805896
PLTR,TEL,0.024651613169919824
ROP,TEL,0.01840267831973367
SNPS,TEL,0.03334240888169297
